Titulo,Titulo original,Año,Duración,País,Guion,Música,Fotografía,Reparto,Sinopsis,Trailer
Blancanieves y los siete enanitos,Snow White and the Seven Dwarfs,1937,73 min,Estados Unidos,"Ted Sears, Otto Englander, Earl Hurd, Dorothy Ann Blank","Leigh Harline, Paul J. Smith, Frank Churchill",Animación,Animación,"La malvada madrastra de Blancanieves decide deshacerse de ella porque no puede soportar que la belleza de la joven sea superior a la suya. Sin embargo, Blancanieves consigue salvarse y se refugia en la cabaña de los siete enanitos. A pesar de todo, su cruel madrastra consigue encontrarla y la envenena con una manzana. Pero la princesa no está muerta, sólo dormida, a la espera de que un Príncipe Azul la rescate.",https://youtu.be/C9q-lb0YOzQ
La cenicienta,Cinderella,1950,74 min.,Estados Unidos,"Bill Peet, Ted Sears, Homer Brightman, Ken Anderson","Mack David, Jerry Livingston, Al Hoffman",Animación,Animación,"Cenicienta era una hermosa y bondadosa joven, a quien su cruel madrastra y sus dos hermanastras obligaban a ocuparse de las labores más duras del palacio, como si fuera la última de las criadas. Sucedió que el hijo del Rey celebró un gran baile. Cenicienta ayudó a sus egoístas hermanastras a vestirse y peinarse para la fiesta. Cuando se hubieron marchado, la pobre niña se echó a llorar amargamente porque también le hubiera gustado ir al baile.",https://youtu.be/OgPjtS2nrhA
La bella durmiente,Disney's Sleeping Beauty,1959,75 min.,Estados Unidos,Erdman Penner. Cuento: Charles Perrault,"Pyotr Ilyich Tchaikovsky, George Bruns",Animación,Animación,"abía una vez dos reyes que esperaban con alegría el nacimiento de su primera hija, a la que llamarían Aurora. Para celebrarlo, organizaron una fiesta a la que invitaron a todos los habitantes del reino. Pero olvidaron invitar a la malvada bruja Maléfica que, enfurecida, lanzó un terrible hechizo sobre la princesa",https://youtu.be/gIn9qu_TIAg
La sirenita,The Little Mermaid,1989,79 min.,Estados Unidos,"John Musker, Ron Clements. Cuento: Hans Christian Andersen",Alan Menken,Animación,Animación,"Ariel, hija del rey Tritón, es la princesa de las sirenas. Está a punto de celebrarse su fiesta de cumpleaños y su mayor ilusión es poder conocer a los seres humanos. Con la ayuda de la bruja Úrsula, Ariel consigue subir a la superficie, donde salva de morir ahogado a un hermoso príncipe, cuyo barco acaba de naufragar, del que se enamora perdidamente.",https://youtu.be/Bu6VFvMx7OE
La sirenita (Serie de TV),The Little Mermaid (TV Series),1992,30 min.,Estados Unidos,"Tedd Anasti, Patsy Cameron, Peter S. Beagle, Laraine Arkow","Dan Foliart, Mark Watters",Animación,Animación,Serie de TV (1992-1994). 3 temporadas. 31 episodios. Precuela de la clásica película de animación de Disney.,https://youtu.be/LZAZaxPPgJs
La bella y la bestia,Beauty and the Beast,1991,85 min.,Estados Unidos,Gary Trousdale,Linda Woolverton. Historia original: Jeanne-Marie Leprince de Beaumont,Animación,Animación,"Una hermosa joven llamada Bella acepta alojarse en un castillo con una bestia a cambio de la libertad de su padre. La bestia es, en realidad, un príncipe encantado. Para romper el hechizo, deberá ganarse el amor de una preciosa dama antes de que caiga el último pétalo de una rosa encantada.",https://youtu.be/7MACzAzNc9o
La Bella y la Bestia 2: Una Navidad Encantada,Beauty and the Beast: The Enchanted Christmas,1997,72 min.,Estados Unidos,"Flip Kobler, Cindy Marcus, Bill Motz, Bob Roth",Rachel Portman,Animación,Animación,"Bella planea decorar el castillo y organizar una fiesta para todos sus amigos, aunque a Bestia no le haga demasiada ilusión... Pero antes de que empiecen los preparativos, Bella y todos sus amigos del castillo encantado descubren que Forte, el órgano, y su atontado secuaz, planean sabotear la fiestas de navidad. Gracias a la ilusión de Bella por enseñar a Bestia el verdadero significado de la Navidad, conseguirá parar los perversos planes de Forte.",https://youtu.be/ZnPzWNLJ_n0
El mundo mágico de Bella,Beauty and the Beast: Belle's Magical World,1998,92 min.,Estados Unidos,"Alice Brown, Richard Cray, Carter Crocker, Sheree Guitar, Chip Hand",Harvey Cohen,Animación,Animación,"Inspirado en el clásico de Disney, “La Bella y la Bestia”, surgió El mundo mágico de Bella, un cuento en el que se incluyen cuatro historias, que transfieren la importancia del amor y la amistad. Hace tiempo, el mundo se enamoró de una hermosa heroína y del dueño de un castillo encantado que junto al resto de inquilinos, Lumier, Din Don, la Sra. Potts, Chip, y muchos más, nos introducen en un mágico regreso al castillo de Bestia... ",https://youtu.be/8Trdu_WSfEY
Aladdin,Aladdin,1992,87 min.,Estados Unidos,"John Musker, Ron Clements, Ted Elliott, Terry Rossio","Alan Menken, Tim Rice",Animación,Animación,"Basada en el famoso cuento ""Aladino y la lámpara maravillosa"", la trama se sitúa en el exótico paisaje del mítico reino árabe de Agrabah. Aladdin es un ingenioso joven que, a pesar de vivir en un estado de extrema pobreza, sueña con casarse con la bella hija del sultán, la princesa Yasmin. El destino interviene cuando el astuto visir del Sultán, Yafar, recluta a Aladdin para que le ayude a recuperar una lámpara mágica de las profundidades de la Cueva de las Maravillas. El joven encuentra la lámpara, en la que vive un genio que concede tres deseos a quien lo libere.",https://youtu.be/zloiAPNlaFw
Pocahontas,Pocahontas,1995,78 min.,Estados Unidos,"Carl Binder, Susannah Grant, Philip Lazebnik. Idea: Mike Gabriel","Alan Menken, Stephen Schwartz",Animación,Animación,"Pocahontas, la hija del Jefe Powhatan, vigila la llegada de un gran grupo de colonos ingleses, guiados por el ambicioso gobernador Radcliff y el valiente capitán John Smith. Con su juguetón compañero Meeko, un travieso mapache, y con Flit, un alegre pájaro, Pocahontas entabla una fuerte amistad con el Capitán Smith. Pero cuando empiezan a surgir tensiones entre las dos culturas, Pocahontas recurre a la sabiduría de la Abuela Sauce para encontrar una manera de lograr la paz entre su pueblo y los conquistadores.",https://youtu.be/5xiXzQpDEmc
